class,alpha
http://dbpedia.org/ontology/Museum,0.443571
http://dbpedia.org/ontology/Currency,0.493333
http://dbpedia.org/ontology/BaseballPlayer,0.494167
http://dbpedia.org/ontology/Airport,0.483571
http://dbpedia.org/ontology/Country,0.388594
http://dbpedia.org/ontology/City,0.406667
http://dbpedia.org/ontology/Person,0.7975
http://dbpedia.org/ontology/Lake,0.436364
http://dbpedia.org/ontology/Bird,0.492
http://dbpedia.org/ontology/Airline,0.47
http://dbpedia.org/ontology/Animal,0.48625
http://dbpedia.org/ontology/Wrestler,0.4775
http://dbpedia.org/ontology/PoliticalParty,0.41
http://dbpedia.org/ontology/VideoGame,0.409444
http://dbpedia.org/ontology/Company,0.535294
http://dbpedia.org/ontology/Hospital,0.4775
http://dbpedia.org/ontology/Film,0.425588
http://dbpedia.org/ontology/Plant,0.503333
http://dbpedia.org/ontology/RadioStation,0.243
http://dbpedia.org/ontology/Building,0.516667
http://dbpedia.org/ontology/Monarch,0.127778
http://dbpedia.org/ontology/Scientist,0.458333
http://dbpedia.org/ontology/Newspaper,0.365
http://dbpedia.org/ontology/Mountain,0.458214
